,SA2 Code,SA2 Name,Household Size,2006,2011,2016,,,,,,
208,504011044,Bassendean - Eden Hill - Ashfield,1,1622,1639,1687,,,,,,
209,504011044,Bassendean - Eden Hill - Ashfield,2,1965,2002,1986,,,,,,
210,504011044,Bassendean - Eden Hill - Ashfield,3,796,890,945,,,,,,
211,504011044,Bassendean - Eden Hill - Ashfield,4,705,764,820,,,,,,
212,504011044,Bassendean - Eden Hill - Ashfield,5,248,300,304,,,,,,
213,504011044,Bassendean - Eden Hill - Ashfield,6,87,80,88,,,,,,
214,504011044,Bassendean - Eden Hill - Ashfield,7,16,22,29,,,,,,
215,504011044,Bassendean - Eden Hill - Ashfield,8,12,22,25,,,,,,
216,504011045,Bayswater - Embleton - Bedford,Total,7788,8310,8738,,,,,,
217,504011045,Bayswater - Embleton - Bedford,1,2357,2303,2251,,,,,,
218,504011045,Bayswater - Embleton - Bedford,2,2796,2955,3081,,,,,,
219,504011045,Bayswater - Embleton - Bedford,3,1199,1373,1476,,,,,,
220,504011045,Bayswater - Embleton - Bedford,4,1007,1148,1359,,,,,,
221,504011045,Bayswater - Embleton - Bedford,5,296,381,404,,,,,,
222,504011045,Bayswater - Embleton - Bedford,6,101,111,120,,,,,,
223,504011045,Bayswater - Embleton - Bedford,7,19,27,36,,,,,,
224,504011045,Bayswater - Embleton - Bedford,8,9,17,4,,,,,,
225,504011046,Maylands,Total,5113,5710,5645,,,,,,
226,504011046,Maylands,1,2555,2347,2157,,,,,,
227,504011046,Maylands,2,1677,2050,2057,,,,,,
228,504011046,Maylands,3,483,719,755,,,,,,
229,504011046,Maylands,4,297,423,511,,,,,,
230,504011046,Maylands,5,73,122,121,,,,,,
231,504011046,Maylands,6,22,31,36,,,,,,
232,504011046,Maylands,7,0,10,6,,,,,,
233,504011046,Maylands,8,3,3,6,,,,,,
234,504011047,Morley,Total,7108,7659,7979,,,,,,
235,504011047,Morley,1,1667,1769,1857,,,,,,
236,504011047,Morley,2,2596,2782,2754,,,,,,
237,504011047,Morley,3,1173,1248,1416,,,,,,
238,504011047,Morley,4,1068,1145,1217,,,,,,
239,504011047,Morley,5,430,489,464,,,,,,
240,504011047,Morley,6,128,152,184,,,,,,
241,504011047,Morley,7,32,38,54,,,,,,
242,504011047,Morley,8,15,32,40,,,,,,
243,504011048,Noranda,Total,2860,2850,2809,,,,,,
244,504011048,Noranda,1,517,563,523,,,,,,
245,504011048,Noranda,2,901,936,1020,,,,,,
246,504011048,Noranda,3,517,500,489,,,,,,
247,504011048,Noranda,4,577,524,471,,,,,,
248,504011048,Noranda,5,256,231,203,,,,,,
249,504011048,Noranda,6,66,65,69,,,,,,
250,504011048,Noranda,7,12,22,27,,,,,,
251,504011048,Noranda,8,6,7,8,,,,,,
252,504021049,Chidlow,Total,875,952,983,,,,,,
253,504021049,Chidlow,1,154,194,192,,,,,,
254,504021049,Chidlow,2,301,346,328,,,,,,
255,504021049,Chidlow,3,141,133,190,,,,,,
256,504021049,Chidlow,4,168,165,167,,,,,,
257,504021049,Chidlow,5,71,82,72,,,,,,
258,504021049,Chidlow,6,34,25,24,,,,,,
259,504021049,Chidlow,7,7,4,7,,,,,,
260,504021049,Chidlow,8,4,0,0,,,,,,
261,504021050,Glen Forrest - Darlington,Total,2404,2432,2476,,,,,,
262,504021050,Glen Forrest - Darlington,1,350,366,401,,,,,,
263,504021050,Glen Forrest - Darlington,2,882,920,913,,,,,,
264,504021050,Glen Forrest - Darlington,3,408,414,417,,,,,,
265,504021050,Glen Forrest - Darlington,4,495,469,485,,,,,,
266,504021050,Glen Forrest - Darlington,5,201,210,190,,,,,,
267,504021050,Glen Forrest - Darlington,6,56,38,60,,,,,,
268,504021050,Glen Forrest - Darlington,7,6,11,4,,,,,,
269,504021050,Glen Forrest - Darlington,8,3,5,6,,,,,,
270,504021051,Helena Valley - Koongamia,Total,1395,1623,1938,,,,,,
271,504021051,Helena Valley - Koongamia,1,266,337,411,,,,,,
272,504021051,Helena Valley - Koongamia,2,474,557,706,,,,,,
273,504021051,Helena Valley - Koongamia,3,218,250,295,,,,,,
274,504021051,Helena Valley - Koongamia,4,272,286,332,,,,,,
275,504021051,Helena Valley - Koongamia,5,112,130,132,,,,,,
276,504021051,Helena Valley - Koongamia,6,48,49,35,,,,,,
277,504021051,Helena Valley - Koongamia,7,11,11,15,,,,,,
278,504021051,Helena Valley - Koongamia,8,3,5,4,,,,,,
279,504021052,Malmalling - Reservoir,Total,0,3,5,,,,,,
280,504021052,Malmalling - Reservoir,1,0,0,3,,,,,,
281,504021052,Malmalling - Reservoir,2,0,3,5,,,,,,
282,504021052,Malmalling - Reservoir,3,0,0,0,,,,,,
283,504021052,Malmalling - Reservoir,4,0,0,0,,,,,,
284,504021052,Malmalling - Reservoir,5,0,0,0,,,,,,
285,504021052,Malmalling - Reservoir,6,0,0,0,,,,,,
286,504021052,Malmalling - Reservoir,7,0,0,0,,,,,,
287,504021052,Malmalling - Reservoir,8,0,0,0,,,,,,
288,504021053,Mundaring,Total,4120,4371,4398,,,,,,
289,504021053,Mundaring,1,658,750,780,,,,,,
290,504021053,Mundaring,2,1502,1564,1609,,,,,,
291,504021053,Mundaring,3,672,723,691,,,,,,
292,504021053,Mundaring,4,771,808,820,,,,,,
293,504021053,Mundaring,5,357,361,321,,,,,,
294,504021053,Mundaring,6,121,123,139,,,,,,
295,504021053,Mundaring,7,18,25,27,,,,,,
296,504021053,Mundaring,8,18,18,16,,,,,,
297,504021054,Swan View - Greenmount - Midvale,Total,4314,4500,4537,,,,,,
298,504021054,Swan View - Greenmount - Midvale,1,1061,1093,1181,,,,,,
299,504021054,Swan View - Greenmount - Midvale,2,1478,1630,1606,,,,,,
300,504021054,Swan View - Greenmount - Midvale,3,705,750,733,,,,,,
301,504021054,Swan View - Greenmount - Midvale,4,629,600,600,,,,,,
302,504021054,Swan View - Greenmount - Midvale,5,321,287,279,,,,,,
303,504021054,Swan View - Greenmount - Midvale,6,99,110,96,,,,,,
304,504021054,Swan View - Greenmount - Midvale,7,21,28,27,,,,,,
305,504021054,Swan View - Greenmount - Midvale,8,8,9,18,,,,,,
306,504031055,Avon Valley National Park,Total,0,0,0,,,,,,
307,504031055,Avon Valley National Park,1,0,0,0,,,,,,
308,504031055,Avon Valley National Park,2,0,0,0,,,,,,
309,504031055,Avon Valley National Park,3,0,0,0,,,,,,
310,504031055,Avon Valley National Park,4,0,0,0,,,,,,
311,504031055,Avon Valley National Park,5,0,0,0,,,,,,
312,504031055,Avon Valley National Park,6,0,0,0,,,,,,
313,504031055,Avon Valley National Park,7,0,0,0,,,,,,
314,504031055,Avon Valley National Park,8,0,0,0,,,,,,
315,504031056,Ballajura,Total,5951,6049,6024,,,,,,
316,504031056,Ballajura,1,863,904,918,,,,,,
317,504031056,Ballajura,2,1583,1670,1751,,,,,,
318,504031056,Ballajura,3,1051,1128,1188,,,,,,
319,504031056,Ballajura,4,1437,1368,1259,,,,,,
320,504031056,Ballajura,5,715,607,545,,,,,,
321,504031056,Ballajura,6,213,241,217,,,,,,
322,504031056,Ballajura,7,59,76,80,,,,,,
323,504031056,Ballajura,8,33,55,61,,,,,,
324,504031057,Beechboro,Total,4525,4872,5636,,,,,,
325,504031057,Beechboro,1,788,864,1023,,,,,,
326,504031057,Beechboro,2,1338,1383,1628,,,,,,
327,504031057,Beechboro,3,828,934,1013,,,,,,
328,504031057,Beechboro,4,941,986,1108,,,,,,
329,504031057,Beechboro,5,420,428,486,,,,,,
330,504031057,Beechboro,6,133,175,223,,,,,,
331,504031057,Beechboro,7,38,55,80,,,,,,
332,504031057,Beechboro,8,34,51,75,,,,,,
333,504031058,Bullsbrook,Total,1282,1448,1616,,,,,,
334,504031058,Bullsbrook,1,172,211,232,,,,,,
335,504031058,Bullsbrook,2,468,526,581,,,,,,
336,504031058,Bullsbrook,3,243,273,289,,,,,,
337,504031058,Bullsbrook,4,235,273,298,,,,,,
338,504031058,Bullsbrook,5,107,107,144,,,,,,
339,504031058,Bullsbrook,6,33,44,50,,,,,,
340,504031058,Bullsbrook,7,6,10,5,,,,,,
341,504031058,Bullsbrook,8,4,7,11,,,,,,
342,504031059,Ellenbrook,Total,4081,7420,11520,,,,,,
343,504031059,Ellenbrook,1,490,924,1690,,,,,,
344,504031059,Ellenbrook,2,1293,2301,3532,,,,,,
345,504031059,Ellenbrook,3,782,1400,2274,,,,,,
346,504031059,Ellenbrook,4,964,1746,2484,,,,,,
347,504031059,Ellenbrook,5,392,708,1027,,,,,,
348,504031059,Ellenbrook,6,122,238,328,,,,,,
349,504031059,Ellenbrook,7,20,59,112,,,,,,
350,504031059,Ellenbrook,8,17,44,69,,,,,,
351,504031060,Gidgegannup,Total,718,822,883,,,,,,
352,504031060,Gidgegannup,1,81,110,125,,,,,,
353,504031060,Gidgegannup,2,264,313,320,,,,,,
354,504031060,Gidgegannup,3,122,122,138,,,,,,
355,504031060,Gidgegannup,4,145,168,196,,,,,,
356,504031060,Gidgegannup,5,79,69,73,,,,,,
357,504031060,Gidgegannup,6,25,29,28,,,,,,
358,504031060,Gidgegannup,7,3,7,7,,,,,,
359,504031060,Gidgegannup,8,0,3,3,,,,,,
360,504031061,Hazelmere - Guildford,Total,1247,1358,1565,,,,,,
361,504031061,Hazelmere - Guildford,1,299,311,375,,,,,,
362,504031061,Hazelmere - Guildford,2,458,492,555,,,,,,
363,504031061,Hazelmere - Guildford,3,210,244,252,,,,,,
364,504031061,Hazelmere - Guildford,4,180,213,259,,,,,,
365,504031061,Hazelmere - Guildford,5,63,80,89,,,,,,
366,504031061,Hazelmere - Guildford,6,23,20,19,,,,,,
367,504031061,Hazelmere - Guildford,7,4,3,12,,,,,,
368,504031061,Hazelmere - Guildford,8,0,0,3,,,,,,
369,504031062,Lockridge - Kiara,Total,2829,2930,3650,,,,,,
370,504031062,Lockridge - Kiara,1,697,736,751,,,,,,
371,504031062,Lockridge - Kiara,2,899,883,1158,,,,,,
372,504031062,Lockridge - Kiara,3,505,508,712,,,,,,
373,504031062,Lockridge - Kiara,4,442,489,625,,,,,,
374,504031062,Lockridge - Kiara,5,176,186,248,,,,,,
375,504031062,Lockridge - Kiara,6,66,83,97,,,,,,
376,504031062,Lockridge - Kiara,7,27,17,30,,,,,,
377,504031062,Lockridge - Kiara,8,16,17,20,,,,,,
378,504031063,Malaga,Total,3,5,0,,,,,,
379,504031063,Malaga,1,0,3,0,,,,,,
380,504031063,Malaga,2,0,0,0,,,,,,
381,504031063,Malaga,3,0,0,0,,,,,,
382,504031063,Malaga,4,0,0,0,,,,,,
383,504031063,Malaga,5,0,0,0,,,,,,
384,504031063,Malaga,6,0,0,0,,,,,,
385,504031063,Malaga,7,0,0,0,,,,,,
386,504031063,Malaga,8,0,0,0,,,,,,
387,504031064,Melaleuca - Lexia,Total,0,0,0,,,,,,
388,504031064,Melaleuca - Lexia,1,0,0,0,,,,,,
389,504031064,Melaleuca - Lexia,2,0,0,0,,,,,,
390,504031064,Melaleuca - Lexia,3,0,0,0,,,,,,
391,504031064,Melaleuca - Lexia,4,0,0,0,,,,,,
392,504031064,Melaleuca - Lexia,5,0,0,0,,,,,,
393,504031064,Melaleuca - Lexia,6,0,0,0,,,,,,
394,504031064,Melaleuca - Lexia,7,0,0,0,,,,,,
395,504031064,Melaleuca - Lexia,8,0,0,0,,,,,,
396,504031065,Middle Swan - Herne Hill,Total,1774,1800,1931,,,,,,
397,504031065,Middle Swan - Herne Hill,1,400,428,481,,,,,,
398,504031065,Middle Swan - Herne Hill,2,631,626,665,,,,,,
399,504031065,Middle Swan - Herne Hill,3,302,311,315,,,,,,
400,504031065,Middle Swan - Herne Hill,4,267,256,284,,,,,,
401,504031065,Middle Swan - Herne Hill,5,117,121,130,,,,,,
402,504031065,Middle Swan - Herne Hill,6,40,32,47,,,,,,
403,504031065,Middle Swan - Herne Hill,7,13,21,12,,,,,,
404,504031065,Middle Swan - Herne Hill,8,6,6,3,,,,,,
405,504031066,Midland - Guildford,Total,3412,3778,4088,,,,,,
406,504031066,Midland - Guildford,1,1282,1369,1462,,,,,,
407,504031066,Midland - Guildford,2,1164,1280,1353,,,,,,
408,504031066,Midland - Guildford,3,438,573,628,,,,,,
409,504031066,Midland - Guildford,4,347,368,433,,,,,,
410,504031066,Midland - Guildford,5,110,126,147,,,,,,
411,504031066,Midland - Guildford,6,42,45,55,,,,,,
412,504031066,Midland - Guildford,7,13,3,13,,,,,,
413,504031066,Midland - Guildford,8,12,6,3,,,,,,
414,504031067,Stratton - Jane Brook,Total,2160,2230,2353,,,,,,
415,504031067,Stratton - Jane Brook,1,348,387,469,,,,,,
416,504031067,Stratton - Jane Brook,2,644,657,683,,,,,,
417,504031067,Stratton - Jane Brook,3,391,422,453,,,,,,
418,504031067,Stratton - Jane Brook,4,473,484,485,,,,,,
419,504031067,Stratton - Jane Brook,5,230,202,172,,,,,,
420,504031067,Stratton - Jane Brook,6,65,58,74,,,,,,
421,504031067,Stratton - Jane Brook,7,12,18,14,,,,,,
422,504031067,Stratton - Jane Brook,8,4,5,5,,,,,,
423,504031068,The Vines,Total,1347,1816,3227,,,,,,
424,504031068,The Vines,1,149,238,435,,,,,,
425,504031068,The Vines,2,528,658,1153,,,,,,
426,504031068,The Vines,3,216,308,544,,,,,,
427,504031068,The Vines,4,283,385,672,,,,,,
428,504031068,The Vines,5,123,174,274,,,,,,
429,504031068,The Vines,6,45,48,96,,,,,,
430,504031068,The Vines,7,5,9,44,,,,,,
431,504031068,The Vines,8,4,3,16,,,,,,
432,504031069,Walyunga National Park,Total,0,0,0,,,,,,
433,504031069,Walyunga National Park,1,0,0,0,,,,,,
434,504031069,Walyunga National Park,2,0,0,0,,,,,,
435,504031069,Walyunga National Park,3,0,0,0,,,,,,
436,504031069,Walyunga National Park,4,0,0,0,,,,,,
437,504031069,Walyunga National Park,5,0,0,0,,,,,,
438,504031069,Walyunga National Park,6,0,0,0,,,,,,
439,504031069,Walyunga National Park,7,0,0,0,,,,,,
440,504031069,Walyunga National Park,8,0,0,0,,,,,,
441,505011070,Craigie - Beldon,Total,3671,3730,3707,,,,,,
442,505011070,Craigie - Beldon,1,866,872,859,,,,,,
443,505011070,Craigie - Beldon,2,1387,1379,1337,,,,,,
444,505011070,Craigie - Beldon,3,626,675,649,,,,,,
445,505011070,Craigie - Beldon,4,528,553,563,,,,,,
446,505011070,Craigie - Beldon,5,206,188,230,,,,,,
447,505011070,Craigie - Beldon,6,48,40,54,,,,,,
448,505011070,Craigie - Beldon,7,16,13,10,,,,,,
449,505011070,Craigie - Beldon,8,3,4,4,,,,,,
450,505011071,Currambine - Kinross,Total,4238,4488,4526,,,,,,
451,505011071,Currambine - Kinross,1,412,523,609,,,,,,
452,505011071,Currambine - Kinross,2,1120,1264,1307,,,,,,
