,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
152,507031174,Parmelia - Orelia,174,274,324,0.57,0.18,0.86,2.52,2.56,2.53,0.01,-0.01,0,599,599,2499,0,3.17,3.17,238,435,630,0.04,0.03,0.07,0.62,3.37,4.1
169,507051190,Safety Bay - Shoalwater,174,324,324,0.86,0,0.86,2.29,2.32,2.31,0.01,0,0.01,599,599,2499,0,3.17,3.17,620,915,1082,0.04,0.01,0.05,0.91,3.18,4.09
35,504031056,Ballajura,224,374,424,0.67,0.13,0.89,3.1,3.07,3,-0.01,-0.02,-0.03,599,1999,2499,2.34,0.25,3.17,1184,1450,1727,0.03,0.03,0.05,3.03,0.39,4.08
94,506011112,Camillo - Champion Lakes,174,324,324,0.86,0,0.86,2.68,2.7,2.58,0.01,-0.04,-0.04,599,599,2499,0,3.17,3.17,174,233,410,0.02,0.06,0.08,0.89,3.19,4.07
96,506011114,Kelmscott,174,324,324,0.86,0,0.86,2.51,2.46,2.48,-0.02,0.01,-0.01,599,599,2499,0,3.17,3.17,580,771,1026,0.02,0.03,0.05,0.86,3.21,4.07
37,504031058,Bullsbrook,174,374,324,1.15,-0.13,0.86,2.8,2.83,2.84,0.01,0,0.02,599,599,2499,0,3.17,3.17,196,247,318,0.01,-0.02,0,1.17,3.02,4.05
172,507051193,Warnbro,199,324,374,0.63,0.15,0.88,2.8,2.78,2.68,-0.01,-0.03,-0.04,599,1999,2499,2.34,0.25,3.17,460,563,685,0.02,0.02,0.04,2.98,0.39,4.05
46,504031067,Stratton - Jane Brook,199,374,374,0.88,0,0.88,2.94,2.88,2.79,-0.02,-0.03,-0.05,599,799,2499,0.33,2.13,3.17,319,403,504,0.02,0.02,0.04,1.21,2.12,4.04
31,504021052,Malmalling - Reservoir,74,74,74,0,0,0,0,2,2.6,0,0.3,0,199,199,999,0,4.02,4.02,0,0,0,0,0,0,0,4.32,4.02
126,506061144,Serpentine - Jarrahdale,174,124,324,-0.29,1.61,0.86,2.74,2.69,2.74,-0.02,0.02,0,599,1999,2499,2.34,0.25,3.17,260,296,339,0,-0.02,-0.02,2.03,1.86,4.01
63,505021084,Balcatta - Hamersley,224,374,374,0.67,0,0.67,2.33,2.34,2.37,0.01,0.01,0.02,599,1999,2499,2.34,0.25,3.17,1442,2020,2519,0.06,0.04,0.09,3.08,0.3,3.95
119,506041137,Thornlie,224,324,374,0.45,0.15,0.67,2.79,2.78,2.79,0,0.01,0,599,1999,2499,2.34,0.25,3.17,1410,2015,2775,0.05,0.06,0.1,2.84,0.47,3.94
166,507051187,Port Kennedy,224,374,374,0.67,0,0.67,3.12,3.09,3.03,-0.01,-0.02,-0.03,599,1999,2499,2.34,0.25,3.17,529,688,842,0.01,0.02,0.03,3.01,0.25,3.84
122,506051140,Kalamunda - Maida Vale - Gooseberry Hill,224,374,549,0.67,0.47,1.45,2.64,2.62,2.59,-0.01,-0.01,-0.02,799,799,2499,0,2.13,2.13,1881,2165,2517,0.03,0.02,0.05,0.69,2.61,3.61
78,505031099,Butler - Merriwa - Ridgewood,274,374,374,0.37,0,0.37,2.81,2.86,2.81,0.02,-0.02,0,599,1999,2499,2.34,0.25,3.17,592,1245,1739,0.02,0.01,0.03,2.75,0.24,3.57
95,506011113,Forrestdale - Harrisdale - Piara Waters,174,549,549,2.16,0,2.16,2.8,2.93,3.03,0.05,0.04,0.08,1249,1999,2499,0.6,0.25,1,87,1083,4029,0.14,0.11,0.25,2.95,0.4,3.49
105,506021123,Victoria Park - Lathlain - Burswood,174,324,549,0.86,0.69,2.16,2.03,2.17,2.25,0.07,0.04,0.11,1249,1999,2499,0.6,0.25,1,1974,3298,3942,0.09,0.04,0.13,1.62,1.02,3.4
39,504031060,Gidgegannup,174,224,549,0.29,1.45,2.16,2.95,2.88,2.91,-0.03,0.01,-0.02,1249,1999,2499,0.6,0.25,1,239,291,334,0.01,-0.01,0,0.87,1.7,3.14
99,506011117,Seville Grove,199,324,374,0.63,0.15,0.88,3.02,2.94,3,-0.03,0.02,-0.01,799,1999,2499,1.5,0.25,2.13,182,435,707,0.04,0.04,0.09,2.14,0.46,3.09
127,506071145,Como,199,324,549,0.63,0.69,1.76,1.95,2.05,2.11,0.05,0.03,0.08,1249,1999,2499,0.6,0.25,1,2471,3553,4292,0.09,0.04,0.13,1.37,1.01,2.97
75,505021096,Wembley Downs - Churchlands - Woodlands,199,324,549,0.63,0.69,1.76,2.5,2.62,2.68,0.05,0.02,0.07,1249,3000,2499,1.4,-0.17,1,2858,3547,4346,0.07,0.02,0.09,2.15,0.56,2.92
113,506031131,Willetton,224,374,549,0.67,0.47,1.45,2.86,2.9,3.05,0.01,0.05,0.07,1249,1999,2499,0.6,0.25,1,2698,3657,4413,0.09,0.05,0.14,1.37,0.82,2.66
71,505021092,Scarborough,224,324,549,0.45,0.69,1.45,1.98,2.06,2.13,0.04,0.04,0.08,1249,3000,2499,1.4,-0.17,1,2348,3273,4223,0.05,0.06,0.11,1.94,0.62,2.64
17,503021038,Mount Hawthorn - Leederville,224,549,549,1.45,0,1.45,2.29,2.4,2.46,0.05,0.03,0.08,1249,3000,2499,1.4,-0.17,1,2343,2984,3543,0.05,0.05,0.1,2.95,-0.09,2.63
129,506071147,South Perth - Kensington,224,549,549,1.45,0,1.45,2.16,2.23,2.28,0.03,0.02,0.05,1249,2999,2499,1.4,-0.17,1,3667,4735,5324,0.08,0.04,0.11,2.96,-0.11,2.61
